Timestamp,Gender,Age,Location,Education,Access_Info,Heard_App,Use_App,ATSPPH_1,ATSPPH_2,ATSPPH_3,ATSPPH_4,ATSPPH_5,ATSPPH_6,ATSPPH_7,ATSPPH_8,ATSPPH_9,ATSPPH_10,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7,Trust_8,Trust_9,Trust_10,Trust_11,Trust_12,Interest_1,Interest_2,Interest_3,Interest_4,Interest_5,Interest_6,Interest_7,Interest_8,Interest_9,Interest_10,Interest_11,Interest_12,Interest_13,Interest_14,Interest_15,Interest_16,Interest_17,Interest_18,Interest_19,Interest_20,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
3/16/2026 2:30:40,Female,18.0,Urban,College or higher,Yes,Yes,No,4,2,3,4,3,2,5,2,4,3,2,4,3,2,4,3,4,3,3,2,3,3,3,3,3,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,2,1,5,5,4,4,4,4,3,2,4,4,5,5,5,5,2
3/16/2026 2:38:22,Female,18.0,Rural,College or higher,Yes,Yes,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/16/2026 2:53:22,Female,18.0,Rural,College or higher,Yes,Yes,No,3,3,4,4,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,2,2,3,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/16/2026 2:54:06,Male,18.0,Urban,College or higher,Yes,Yes,No,4,2,5,5,4,3,2,3,2,3,3,4,4,3,3,4,3,3,4,2,2,4,2,1,1,2,1,1,1,2,3,2,3,1,1,1,1,1,1,1,2,4,5,5,5,5,4,4,5,5,4,3,5,5,5,5,4
3/16/2026 3:06:41,Female,18.0,Urban,College or higher,Yes,No,No,2,1,4,5,4,5,1,1,3,5,1,4,5,2,3,4,2,3,3,1,2,2,3,3,2,2,1,2,4,4,4,4,3,3,1,1,1,2,2,1,1,4,5,5,5,5,5,4,3,4,2,5,5,5,5,5,4
3/16/2026 3:27:49,Male,18.0,Rural,College or higher,Yes,Yes,No,4,2,4,5,5,5,3,2,3,3,4,4,4,2,3,4,2,3,3,2,3,3,2,4,4,5,5,5,3,4,4,4,3,4,2,2,3,3,2,2,3,4,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5
3/16/2026 3:54:19,Male,18.0,Urban,College or higher,Yes,Yes,Yes,5,5,5,5,5,5,5,2,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/16/2026 4:03:27,Male,18.0,Urban,High school or lower,Yes,Yes,No,4,3,3,4,3,3,2,3,2,3,2,5,5,3,3,2,3,4,2,2,3,3,1,2,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,5,3,3,3,4,4,4,4,4,4,4,4,4,3,3
3/16/2026 6:01:26,Female,18.0,Urban,High school or lower,Yes,Yes,No,3,2,4,3,4,3,3,2,2,3,3,5,3,3,3,3,2,4,3,2,3,3,1,2,2,2,1,1,1,1,1,1,3,2,1,2,1,2,2,1,1,2,4,4,3,5,5,4,4,4,4,4,5,5,5,3,4
3/16/2026 6:29:59,Male,18.0,Urban,High school or lower,Yes,Yes,No,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
